,year,locality,estimated value ($),sale Price ($),property,residential,num_rooms,num_bathrooms,carpet_area_sq_ft,property_tax_rate,face,month_name,difference,Season,house_age
0,2009,Waterbury,111440.0,185000.0,Single Family,Detached House,3,3,996.0,1.025953,South,January,-73560.0,Winter,15
1,2009,Unknown,73080.0,152000.0,Single Family,Detached House,3,1,935.0,1.025953,North,January,-78920.0,Winter,15
2,2009,Waterbury,50540.0,105000.0,Single Family,Detached House,3,1,951.0,1.025953,East,January,-54460.0,Winter,15
4,2009,Bridgeport,4775276.0,272900.0,Single Family,Detached House,3,1,971.0,1.025953,East,January,4502376.0,Winter,15
7,2009,Norwalk,172620.0,409000.0,,Detached House,3,3,1004.0,1.025953,South,January,-236380.0,Winter,15
10,2009,Norwalk,208880.0,370000.0,Single Family,Detached House,3,2,1063.0,1.025953,South,January,-161120.0,Winter,15
11,2009,Waterbury,83300.0,220000.0,Two Family,Duplex,4,4,1471.0,1.025953,South,January,-136700.0,Winter,15
13,2009,Unknown,73990.0,195000.0,Single Family,Detached House,3,1,960.0,1.025953,North,January,-121010.0,Winter,15
14,2009,Greenwich,2095100.0,2860000.0,Single Family,Detached House,3,1,963.0,1.025953,East,January,-764900.0,Winter,15
15,2009,Norwalk,186410.0,340000.0,Single Family,Detached House,3,2,933.0,1.025953,East,January,-153590.0,Winter,15
19,2009,Waterbury,56070.0,75000.0,Two Family,Duplex,4,2,1373.0,1.025953,West,January,-18930.0,Winter,15
20,2009,Bridgeport,160904.0,399900.0,Two Family,Duplex,4,2,1284.0,1.025953,East,January,-238996.0,Winter,15
21,2009,Norwalk,342090.0,850000.0,Single Family,Detached House,3,1,914.0,1.025953,East,January,-507910.0,Winter,15
22,2009,Bridgeport,71050.0,280000.0,Two Family,Duplex,4,3,1295.0,1.025953,East,January,-208950.0,Winter,15
23,2009,Bridgeport,60483.0,144500.0,,Detached House,3,1,1095.0,1.025953,East,January,-84017.0,Winter,15
24,2009,Unknown,75250.0,205000.0,Single Family,Detached House,3,2,1043.0,1.025953,East,January,-129750.0,Winter,15
25,2009,Bridgeport,135870.0,362560.0,Two Family,Duplex,4,2,1338.0,1.025953,West,January,-226690.0,Winter,15
26,2009,Norwalk,154210.0,412000.0,Single Family,Detached House,3,1,955.0,1.025953,South,January,-257790.0,Winter,15
29,2009,Bridgeport,121870.0,305000.0,Three Family,Triplex,6,6,1817.0,1.025953,South,January,-183130.0,Winter,15
31,2009,Greenwich,2215010.0,2925000.0,Single Family,Detached House,3,2,1065.0,1.025953,West,January,-709990.0,Winter,15
32,2009,Greenwich,1017400.0,1052000.0,Single Family,Detached House,3,2,984.0,1.025953,East,January,-34600.0,Winter,15
35,2009,Bridgeport,159460.0,384000.0,Three Family,Triplex,6,4,2131.0,1.025953,West,January,-224540.0,Winter,15
36,2009,Bridgeport,93521.0,202500.0,Single Family,Detached House,3,2,952.0,1.025953,East,January,-108979.0,Winter,15
37,2009,Unknown,186970.0,500000.0,Two Family,Duplex,4,2,1389.0,1.025953,West,January,-313030.0,Winter,15
38,2009,Norwalk,212240.0,437000.0,Single Family,Detached House,3,3,967.0,1.025953,West,January,-224760.0,Winter,15
40,2009,Bridgeport,115290.0,289900.0,Single Family,Detached House,3,1,963.0,1.025953,South,January,-174610.0,Winter,15
43,2009,Bridgeport,128381.0,330000.0,Single Family,Detached House,3,3,959.0,1.025953,North,January,-201619.0,Winter,15
44,2009,Greenwich,875700.0,1372500.0,Single Family,Detached House,3,1,1079.0,1.025953,East,January,-496800.0,Winter,15
45,2009,Greenwich,1452500.0,2000000.0,,Detached House,3,2,973.0,1.025953,North,January,-547500.0,Winter,15
48,2009,Waterbury,53200.0,289000.0,Single Family,Detached House,3,3,999.0,1.025953,North,January,-235800.0,Winter,15
49,2009,Bridgeport,417904.0,232677.0,Three Family,Triplex,6,5,1819.0,1.025953,West,January,185227.0,Winter,15
50,2009,Bridgeport,105560.0,224500.0,Single Family,Detached House,3,1,1062.0,1.025953,East,January,-118940.0,Winter,15
51,2009,Fairfield,545860.0,720000.0,Single Family,Detached House,3,2,1056.0,1.025953,East,January,-174140.0,Winter,15
52,2009,Norwalk,198310.0,422000.0,Single Family,Detached House,3,1,954.0,1.025953,East,January,-223690.0,Winter,15
53,2009,Norwalk,423850.0,740000.0,,Detached House,3,2,1080.0,1.025953,West,January,-316150.0,Winter,15
54,2009,Greenwich,1152270.0,1750000.0,Single Family,Detached House,3,3,1040.0,1.025953,South,January,-597730.0,Winter,15
55,2009,Waterbury,60270.0,154000.0,Single Family,Detached House,3,2,1030.0,1.025953,East,January,-93730.0,Winter,15
56,2009,Fairfield,451500.0,1000000.0,Single Family,Detached House,3,1,1064.0,1.025953,South,January,-548500.0,Winter,15
57,2009,Unknown,7167580.0,105000.0,Single Family,Detached House,3,3,919.0,1.025953,East,January,7062580.0,Winter,15
58,2009,Unknown,17500.0,29000.0,Single Family,Detached House,3,2,960.0,1.025953,South,January,-11500.0,Winter,15
59,2009,Bridgeport,117670.0,249900.0,Single Family,Detached House,3,3,931.0,1.025953,North,January,-132230.0,Winter,15
60,2009,Unknown,735350.0,1300000.0,Single Family,Detached House,3,3,1097.0,1.025953,West,January,-564650.0,Winter,15
61,2009,Unknown,78050.0,82500.0,Single Family,Detached House,3,2,934.0,1.025953,North,January,-4450.0,Winter,15
63,2009,Norwalk,350000.0,1600000.0,Single Family,Detached House,3,2,904.0,1.025953,East,January,-1250000.0,Winter,15
64,2009,Fairfield,352380.0,400000.0,,Detached House,3,2,955.0,1.025953,South,January,-47620.0,Winter,15
66,2009,Waterbury,59010.0,129900.0,Single Family,Detached House,3,1,1046.0,1.025953,South,January,-70890.0,Winter,15
67,2009,Norwalk,1954890.0,2700000.0,Single Family,Detached House,3,3,1034.0,1.025953,South,January,-745110.0,Winter,15
68,2009,Norwalk,412440.0,712500.0,,Detached House,3,3,1041.0,1.025953,East,January,-300060.0,Winter,15
69,2009,Greenwich,6246170.0,8500000.0,Single Family,Detached House,3,1,1080.0,1.025953,South,January,-2253830.0,Winter,15
71,2009,Waterbury,62650.0,101555.0,,Detached House,3,3,936.0,1.025953,South,January,-38905.0,Winter,15
72,2009,Waterbury,88480.0,220000.0,Single Family,Detached House,3,1,1057.0,1.025953,East,January,-131520.0,Winter,15
73,2009,Fairfield,425180.0,565000.0,,Detached House,3,1,928.0,1.025953,West,January,-139820.0,Winter,15
75,2009,Fairfield,243740.0,340000.0,Single Family,Detached House,3,1,906.0,1.025953,West,January,-96260.0,Winter,15
76,2009,Unknown,141820.0,235000.0,,Duplex,4,2,1356.0,1.025953,East,February,-93180.0,Winter,15
77,2009,Unknown,120470.0,280000.0,Single Family,Detached House,3,1,959.0,1.025953,West,February,-159530.0,Winter,15
78,2009,Unknown,46200.0,124900.0,Single Family,Detached House,3,3,915.0,1.025953,North,February,-78700.0,Winter,15
79,2009,Waterbury,67270.0,200000.0,Two Family,Duplex,4,4,1300.0,1.025953,South,February,-132730.0,Winter,15
81,2009,Bridgeport,85540.0,230000.0,Single Family,Detached House,3,3,1016.0,1.025953,North,February,-144460.0,Winter,15
82,2009,Bridgeport,83161.0,190000.0,Single Family,Detached House,3,3,900.0,1.025953,South,February,-106839.0,Winter,15
83,2009,Fairfield,717010.0,820000.0,,Detached House,3,2,958.0,1.025953,North,February,-102990.0,Winter,15
84,2009,Greenwich,628460.0,800000.0,Single Family,Detached House,3,3,1025.0,1.025953,East,February,-171540.0,Winter,15
85,2009,Unknown,95410.0,159000.0,Single Family,Detached House,3,1,947.0,1.025953,East,February,-63590.0,Winter,15
86,2009,Greenwich,651630.0,770000.0,Single Family,Detached House,3,2,1029.0,1.025953,East,February,-118370.0,Winter,15
87,2009,Unknown,324240.0,500000.0,,Duplex,4,2,1498.0,1.025953,South,February,-175760.0,Winter,15
88,2009,Bridgeport,133070.0,290000.0,Single Family,Detached House,3,3,1023.0,1.025953,East,February,-156930.0,Winter,15
89,2009,Waterbury,67200.0,184900.0,Three Family,Triplex,6,4,1821.0,1.025953,East,February,-117700.0,Winter,15
90,2009,Waterbury,96250.0,215000.0,,Detached House,3,2,1095.0,1.025953,West,February,-118750.0,Winter,15
91,2009,Fairfield,1334270.0,490500.0,,Detached House,3,2,929.0,1.025953,East,February,843770.0,Winter,15
92,2009,Waterbury,78680.0,175000.0,Three Family,Triplex,6,4,2062.0,1.025953,West,February,-96320.0,Winter,15
95,2009,Bridgeport,174231.0,363000.0,Four Family,Fourplex,8,6,2935.0,1.025953,South,February,-188769.0,Winter,15
96,2009,Fairfield,457380.0,750000.0,,Detached House,3,3,995.0,1.025953,South,February,-292620.0,Winter,15
98,2009,Greenwich,2828910.0,4450000.0,Single Family,Detached House,3,2,920.0,1.025953,East,February,-1621090.0,Winter,15
99,2009,Norwalk,206010.0,320000.0,Single Family,Detached House,3,1,913.0,1.025953,South,February,-113990.0,Winter,15
100,2009,Bridgeport,148121.0,248000.0,,Detached House,3,1,1043.0,1.025953,West,February,-99879.0,Winter,15
101,2009,Bridgeport,73220.0,299900.0,Three Family,Triplex,6,4,2142.0,1.025953,West,February,-226680.0,Winter,15
103,2009,Greenwich,1849120.0,3500000.0,Single Family,Detached House,3,2,928.0,1.025953,North,February,-1650880.0,Winter,15
104,2009,Bridgeport,117601.0,230000.0,Single Family,Detached House,3,2,1016.0,1.025953,South,February,-112399.0,Winter,15
106,2009,Waterbury,70140.0,110000.0,Single Family,Detached House,3,2,909.0,1.025953,South,February,-39860.0,Winter,15
107,2009,Bridgeport,110390.0,250000.0,Single Family,Detached House,3,1,904.0,1.025953,West,February,-139610.0,Winter,15
108,2009,Bridgeport,168000.0,399900.0,,Triplex,6,4,1876.0,1.025953,South,February,-231900.0,Winter,15
109,2009,Waterbury,77070.0,177000.0,Single Family,Detached House,3,1,975.0,1.025953,West,February,-99930.0,Winter,15
111,2009,Bridgeport,61228.0,7000.0,Single Family,Detached House,3,1,1058.0,1.025953,East,February,54228.0,Winter,15
112,2009,Waterbury,57820.0,135000.0,Single Family,Detached House,3,2,909.0,1.025953,North,February,-77180.0,Winter,15
